41783,Fluffy Humpy Poopy Puppy: A Ruff  Dog-Eared Look at Man's Best Friend,Michael J. Nelson/Pop Ink/Charles S. Anderson Design Company,4,0810970570,9.78081E+12,eng,176,56,7,09 01 06,Harry N. Abrams
41784,Mike Nelson's Death Rat!,Michael J. Nelson,3.66,0060934727,9.78006E+12,eng,336,450,44,4/15/2003,Dey Street Books
41786,Joel on Software,Joel Spolsky,4.11,1590593898,9.78159E+12,eng,384,2981,118,10/28/2004,Apress
41793,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham/Allen Noren/Matt Hutchinson,4.05,0596006624,9.7806E+12,eng,272,6572,302,5/25/2004,O'Reilly Media
41804,I  Robot (Robot  #0.1),Isaac Asimov,4.19,0553803700,9.78055E+12,eng,224,238100,4196,06 01 04,Spectra
41805,I  Robot: The Illustrated Screenplay,Harlan Ellison,4.03,1596870419,9.7816E+12,eng,288,26,1,05 01 04,iBooks
41810,The Robots of Dawn (Robot #3),Isaac Asimov,4.16,0553299492,9.78055E+12,eng,435,31186,866,03 01 94,Spectra
41814,I. Asimov,Isaac Asimov,4.2,055356997X,9.78055E+12,eng,578,1729,97,01 01 95,Bantam
41815,Asimov's New Guide to Science,Isaac Asimov,4.38,0140172130,9.78014E+12,eng,896,49,1,5/27/1993,Penguin
41820,Pebble in the Sky (Galactic Empire #3),Isaac Asimov,3.88,0553293427,9.78055E+12,eng,308,14022,452,12 01 91,Bantam
41821,The Gods Themselves,Isaac Asimov,4.09,1857989341,9.78186E+12,eng,288,42770,1022,02 10 00,Millenium
41822,The Stars  Like Dust (Galactic Empire  #1),Isaac Asimov,3.74,0553293435,9.78055E+12,eng,304,12547,424,12 01 91,Spectra
41824,The Currents of Space (Galactic Empire  #2),Isaac Asimov,3.83,4490249512,9.78045E+12,eng,192,37,3,01 01 52,Fawcett crest
41832,Gold: The Final Science Fiction Collection,Isaac Asimov/Orson Scott Card,4,0060556528,9.78006E+12,eng,416,2476,85,10/21/2003,Harper Voyager
41834,Asimov's Guide to the Bible: The Old Testament,Isaac Asimov,4.07,0380010321,9.78038E+12,eng,677,237,20,11 01 71,Avon Books (P)
41840,100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,3.91,0380699176,9.78038E+12,eng,395,204,19,08 01 85,Avon
41851,Rock Star Superstar,Blake Nelson,3.61,0142405744,9.78014E+12,en-US,229,310,34,04 06 06,Speak
41856,Writings and Selected Narratives of the Exploration and Settlement of Virginia,John  Smith,3.39,1598530011,9.7816E+12,en-US,1327,28,3,3/22/2007,Library of America
41861,John  Paul  George & Ben,Lane Smith,4.21,0786848936,9.78079E+12,eng,40,3500,393,04 01 06,Little  Brown Books for Young Readers
41862,Evolution and the Theory of Games,John Maynard Smith,4,0521288843,9.78052E+12,eng,234,86,5,10/21/1982,Cambridge University Press
41863,The Origins of Life: From the Birth of Life to the Origin of Language,John Maynard Smith/E��rs Szathm,4.13,019286209X,9.78019E+12,eng,192,43,3,11/26/2000,Oxford University Press  USA
41864,American Genesis: Captain John Smith and the Founding of Virginia,Alden T. Vaughan,3.43,0673393550,9.78067E+12,eng,224,23,2,8/17/2019,Pearson
41865,Twilight (Twilight  #1),Stephenie Meyer,3.59,0316015849,9.78032E+12,eng,501,4597666,94265,09 06 06,Little  Brown and Company
41885,Sense and Sensibility,Jane Austen,4.07,1593081251,9.78159E+12,eng,325,1278,153,7/25/2004,Barnes & Noble
41887,Uncle Shelby's ABZ Book,Shel Silverstein,4.36,067121148X,9.78067E+12,eng,80,2550,222,09 09 85,Gallery Books
41890,Who Wants a Cheap Rhinoceros?,Shel Silverstein,3.96,0689851138,9.78069E+12,eng,64,1907,124,08 01 02,Simon  Schuster Books for Young Readers
41899,Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander/J.K. Rowling,3.99,0439321603,9.78044E+12,eng,128,259399,5513,06 01 01,Arthur A. Levine Books
41900,J.K. Rowling - A Biography,Sean Smith,3.73,1843170175,9.78184E+12,eng,248,937,41,05 01 03,Michael O'Mara Books
41903,Das Zauberer-Handbuch - Die Magische Welt der Joanne K. Rowling von A bis Z,Allan Zola Kronzek,4.04,3442451531,9.78344E+12,ger,304,39,1,11 01 01,Goldmann
41907,Harry Potter und die Kammer des Schreckens (Harry Potter  #2),J.K. Rowling,4.42,3551552096,9.78355E+12,ger,351,26,1,9/30/2000,Carlsen
41908,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling/Rufus Beck,4.56,3895849618,9.7839E+12,ger,13,313,8,8/31/2002,Dhv der H��rve
41909,Harry Potter ve S��rlar Odas�� (Harry Pot,J.K. Rowling/Sevin Okyay,4.42,3570211029,9.78357E+12,tur,403,1000,41,10 01 01,Yap�� Kredi Yay�
41911,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling,4.56,355155210X,9.78355E+12,ger,448,30,2,04 01 01,Carlsen
41918,There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,4.27,0385265565,9.78039E+12,eng,323,12092,837,01 05 92,Anchor Books
41919,Infants  Children  and Adolescents (MyDevelopmentLab Series),Laura E. Berk,3.64,0205419283,9.78021E+12,en-US,784,19,2,09 10 04,Allyn & Bacon
41926,Spring Music,Elvi Rhodes,4.05,0552146552,9.78055E+12,eng,464,37,5,8/19/1999,Corgi
41951,Scarlet Feather,Maeve Binchy,3.96,0451203771,9.78045E+12,eng,549,22812,791,03 01 02,Signet
41952,The Lilac Bus,Maeve Binchy,3.62,0099498642,9.7801E+12,eng,196,9649,297,01 12 07,Dell
41962,Light a Penny Candle,Maeve Binchy,3.91,009949857X,9.7801E+12,eng,832,14656,585,05 04 06,Arrow
41967,Evening Class,Maeve Binchy,3.99,0752876821,9.78075E+12,en-GB,528,35964,855,6/30/2005,Orion Publishing Group
41977,Circle of Friends,Maeve Binchy/Ren�� Huigen/Frans Thom,4.03,0099498596,9.7801E+12,eng,722,51839,1396,06 01 06,Arrow
41979,Nos r��ves de Caste,Maeve Binchy,3.8,2268031675,9.78227E+12,fre,434,1,0,3/29/1999,Editions du Rocher
41991,Les Saveurs de la vie,Maeve Binchy,3.96,2266129376,9.78227E+12,fre,893,6,1,6/19/2003,Pocket
41993,Kiss,Jill Mansell,3.68,0747268460,9.78075E+12,eng,512,1587,67,09 07 00,Headline Review
41994,Solo,Jill Mansell,3.65,0747267456,9.78075E+12,eng,421,3362,127,09 02 02,Headline Review
41996,Two's Company,Jill Mansell,3.61,0747267448,9.78075E+12,eng,448,1462,53,10/27/2003,Headline Review
41998,Open House,Jill Mansell,3.9,074726743X,9.78075E+12,en-US,448,2440,65,03 03 03,Headline
41999,The Dream Kingdom (The Morland Dynasty  #26),Cynthia Harrod-Eagles,4.34,0751533432,9.78075E+12,eng,640,195,7,11 01 04,Little  Brown Book Group
42001,Falling for You,Jill Mansell,3.8,0755304853,9.78076E+12,eng,448,4816,143,8/16/2004,Headline Review
42002,Millie's Fling,Jill Mansell,3.75,0747264864,9.78075E+12,en-GB,512,8052,463,8/16/2001,Headline Review
42003,Sheer Mischief,Jill Mansell,3.82,0747268479,9.78075E+12,eng,504,2555,102,08 02 01,Headline Review
42007,Head Over Heels,Jill Mansell,3.72,0747257361,9.78075E+12,en-US,448,3286,128,06 10 99,Headline Review
42010,Mixed Doubles,Jill Mansell,3.71,0747257353,9.78075E+12,en-GB,416,2087,82,07 02 98,Headline Review
42012,M��li-m,Jill Mansell,3.71,2290327506,9.78229E+12,fre,381,5,0,10/31/2002,J'ai Lu
42018,Seven Sunny Days,Chris Manby,3.35,0373895208,9.78037E+12,eng,352,588,30,4/26/2005,Red Dress Ink
42020,Girl Meets Ape,Chris Manby,3.46,0340828064,9.78034E+12,eng,406,553,20,01 05 04,Coronet
42029,Girls' Night In,Jessica Adams/Chris Manby/Fiona Walker,3.26,0006514855,9.78001E+12,en-GB,586,140,11,07 03 00,HarperCollins
42036,Tales from Shakespeare,Charles Lamb/Mary Lamb/Arthur Rackham,3.96,0140621598,9.78014E+12,eng,288,3097,154,10/26/2007,Penguin Books
42038,Shakespeare's Sonnets,William Shakespeare/Katherine Duncan-Jones,4.25,1903436575,9.7819E+12,eng,488,70617,614,8/21/1997,Bloomsbury Academic
42040,Love Poems and Sonnets,William Shakespeare,4.34,0385017332,9.78039E+12,eng,160,5808,64,09 03 57,Doubleday Books
42041,Shakespeare A to Z: The Essential Reference to His Plays  His Poems  His Life and Times  and More,Charles Boyce/David Allen White,4.35,0385313616,9.78039E+12,eng,752,153,6,11 10 91,Delta
42045,The Sonnets,William Shakespeare/Stephen Orgel/John Hollander,4.25,0140714537,9.78014E+12,eng,164,349,19,12 01 01,Penguin Classics
42048,Shakespeare's Secret,Elise Broach,3.88,0805073876,9.78081E+12,eng,256,7373,645,05 01 05,Henry Holt & Company
42051,The Complete Sonnets and Poems,William Shakespeare/Colin Burrow,4.34,019281933X,9.78019E+12,eng,624,5487,43,7/18/2002,Oxford University Press
42054,The Arden Shakespeare Complete Works,William Shakespeare/Richard Proudfoot/Ann Thompson/David Scott Kastan/Harold Jenkins,4.5,1903436613,9.7819E+12,eng,1347,122,7,07 05 01,Arden Shakespeare
42055,Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright,Reed Martin/Austin Tichenor,4.13,1401302203,9.7814E+12,en-US,256,281,53,07 11 06,Hachette Books
42056,The Cat Who Knew Shakespeare (Cat Who...  #7),Lilian Jackson Braun,3.92,0747250383,9.78075E+12,eng,208,6876,206,11 07 96,Headline
42057,The Shakespeare Stealer (Shakespeare Stealer  #1),Gary L. Blackwood,3.68,0141305959,9.78014E+12,eng,224,5582,451,07 01 00,Puffin Books
42060,Richard III,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.93,0743482840,9.78074E+12,eng,369,1945,191,07 01 04,Simon  Schuster
42068,King Henry VI  Part 3,William Shakespeare/John D. Cox/Eric Rasmussen,3.76,1903436311,9.7819E+12,eng,460,3138,186,11 01 01,Bloomsbury Arden Shakespeare
42070,The Age Of Shakespeare,Frank Kermode,3.68,0753819953,9.78075E+12,eng,208,20,2,07 07 05,Phoenix
42078,Ukraine,Sarah Johnstone,3.91,186450336X,9.78186E+12,eng,216,27,5,07 01 05,Lonely Planet
42099,Jimi Hendrix: The Complete Guide to His Music  (Complete Guide to the Music of...),Peter Doggett,4,1844494241,9.78184E+12,eng,96,4,1,12 01 04,Omnibus Press
42140,Outside the Dog Museum (Answered Prayers  #4),Jonathan Carroll,3.97,0765311852,9.78077E+12,eng,267,1406,97,06 01 05,Orb Books
42141,Glass Soup  (Vincent Ettrich  #2),Jonathan Carroll,3.88,0765311801,9.78077E+12,eng,320,1153,62,11/28/2006,Tor Books
42143,The Land of Laughs,Jonathan Carroll,3.9,0312873115,9.78031E+12,eng,253,4337,352,02 10 01,Orb Books
42145,Sleeping in Flame (Answered Prayers  #2),Jonathan Carroll/Dave McKean,4.05,0765311860,9.78077E+12,en-US,304,1543,76,10 01 04,Orb Books
42146,Bones of the Moon (Answered Prayers  #1),Jonathan Carroll,3.89,0312873123,9.78031E+12,eng,224,2046,116,05 03 02,Orb Books
42148,Kissing the Beehive (Crane's View  #1),Jonathan Carroll,3.7,0575402911,9.78058E+12,eng,256,808,40,08 10 00,Orion
42149,Baby Proof,Emily Giffin,3.72,0312348649,9.78031E+12,eng,340,140762,3096,6/13/2006,St. Martin's Press
42155,Something Blue (Darcy & Rachel  #2),Emily Giffin,3.93,0312323867,9.78031E+12,en-US,338,191577,6599,3/21/2006,Griffin
42156,Something Borrowed (Darcy & Rachel  #1),Emily Giffin,3.85,031232118X,9.78031E+12,eng,322,454917,7487,06 01 04,St. Martin's Press
42157,P.S. Longer Letter Later (Elizabeth and Tara*Starr  #1),Paula Danziger/Ann M. Martin,3.78,0590213113,9.78059E+12,eng,234,2699,242,05 01 99,Scholastic Paperbacks
42158,P.S. Your Cat Is Dead,James Kirkwood Jr.,3.75,0312321201,9.78031E+12,eng,218,1334,141,11/15/2003,St. Martin's Griffin
42162,P.S. I Love You Three!,Lynda Milligan/Nancy J. Smith,4.14,1880972476,9.78188E+12,eng,79,7,0,12 01 02,Possibilities
42172,The Christmas Shoes (Christmas Hope #1),Donna VanLiere,4.23,0312289510,9.78031E+12,eng,132,32701,967,11 09 01,St. Martin's Press
42177,Burning The Map,Laura Caldwell,3.54,0373250215,9.78037E+12,en-US,288,1336,66,10/25/2002,Red Dress Ink
42180,iMovie 4 & iDVD: The Missing Manual: The Missing Manual,David Pogue,3.25,0596006934,9.7806E+12,eng,496,4,0,8/23/2004,Pogue Press
42198,The Icarus Agenda,Robert Ludlum,3.96,0752858505,9.78075E+12,eng,836,37,3,07 01 04,Orion Books
42210,Life Is a Dream,Pedro Calder��n de la B,3.98,0486421244,9.78049E+12,eng,96,346,27,07 01 02,Dover Publications
42211,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,Pedro Calder��n de la Barca/Miguel de Cervantes Saavedra/Lope de Vega/Tirso de Molina/Roy Campbell/Eric Ben,3.81,1557830061,0073999140774,eng,298,61,4,04 01 00,Applause Theatre & Cinema Book Publishers
42212,Life Is A Dream = La Vida Es Sue�,Pedro Calder��n de la Barca/Stanley Appel,3.98,0486424731,9.78049E+12,eng,208,56,2,12 06 02,Dover Publications
42213,Life Is a Dream,Pedro Calder��n de la Barca/Gregary ,3.98,0143104829,9.78014E+12,eng,160,168,11,12/26/2006,Penguin Classics
42261,Stylepedia: A Guide to Graphic Design Mannerisms  Quirks  and Conceits,Steven Heller/Louise Fili,4.06,0811833461,9.78081E+12,eng,336,170,9,11 09 06,Chronicle Books
42278,I Can Fly,Ruth Krauss/Mary Blair,4.24,0307001466,9.78031E+12,eng,24,1069,70,09 09 03,Golden Books
42300,A Whole Lotta Love,Donna Hill/Francis Ray/Brenda Jackson/Monica Jackson,4.46,0451210905,9.78045E+12,eng,384,662,7,01 06 04,Signet
42308,The Best of Pippi Longstocking (Pippi Longstocking  #1-3),Astrid Lindgren/Tony Ross,4.25,0192753371,9.78019E+12,en-GB,378,217,16,10 09 03,Oxford University Press
42311,Astrid Lindgren: Storyteller to the World,Johanna Hurwitz/Michael Dooling,3.69,0140326928,9.78014E+12,eng,64,10,2,11 01 91,Puffin
42323,Astrid Lindgren,Eva-Maria Metcalf,3.78,0805745254,9.78081E+12,eng,157,7,2,11 01 94,Twayne Publishers
42337,The Moffats (The Moffats  #1),Eleanor Estes/Louis Slobodkin,4,0152025413,9.78015E+12,eng,212,9334,302,04 01 01,Oddysey/Harcourt Young Classics
42341,Arthur and the Lost Kingdoms,Alistair Moffat,3.7,0753810743,9.78075E+12,eng,282,59,14,12/31/1999,Orion Publishing Group
42355,God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon,4.45,0883689448,9.78088E+12,eng,416,1481,67,11 01 00,Whitaker House
42357,The Alley (The Alley  #1),Eleanor Estes/Edward Ardizzone,3.76,0152049185,9.78015E+12,eng,288,320,20,08 01 03,HMH Books for Young Readers
42359,Pinky Pye (The Pyes  #2),Eleanor Estes/Edward Ardizzone,3.86,0152025650,9.78015E+12,eng,192,1578,102,09 01 00,HMH Books for Young Readers
42366,The Witch Family,Eleanor Estes/Edward Ardizzone,4.07,015202610X,9.78015E+12,eng,240,2550,98,09 01 00,HMH Books for Young Readers
42369,The Hundred Dresses,Eleanor Estes/Louis Slobodkin,4.09,0152052607,9.78015E+12,eng,80,30311,2306,09 01 04,HMH Books for Young Readers
42376,Theater Shoes,Noel Streatfeild/Diane Goode,4.02,0613013379,9.78061E+12,en-US,252,85,11,11 01 99,Sagebrush
42377,Gemma Alone (Gemma  #3),Noel Streatfeild,3.61,0440428653,9.78044E+12,eng,150,175,7,02 01 87,Yearling
42380,When the Siren Wailed,Noel Streatfeild/Judith Gwyn Brown,3.72,0394931475,9.78039E+12,en-US,157,16,3,10 01 77,Lions
42382,The Caine Mutiny Court-Martial,Herman Wouk,4.12,0385514417,9.78039E+12,eng,120,281,10,4/20/1954,Doubleday Books
42389,Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest,Stephen E. Ambrose,4.43,0743464117,9.78074E+12,eng,432,82525,2124,09 01 02,Simon & Schuster; Media Tie-In edition
42390,Midnight Riders: The Story of the Allman Brothers Band,Scott  Freeman,3.97,0316294527,9.78032E+12,eng,343,278,16,07 01 96,Little  Brown and Company
